"Locality","cc","id","Taxon","MaxAge","MinAge","Rotated.Lat","Rotated.Lon","Area","genus"
"Western Cape","ZA",3401,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",3402,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",3403,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",3404,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",3405,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",3406,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",3407,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",3408,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",3409,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",3410,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",3411,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",3412,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"San Juan","AR",3399,"Ischigualastia",237,227,-52.0012,-29.5316,4,"Ischigualastia"
"La Rioja","AR",3397,"Dinodontosaurus",242,237,-49.9808,-33.9335,4,"Dinodontosaurus"
"La Rioja","AR",3396,"Jachaleria",242,237,-49.9808,-33.9335,4,"Jachaleria"
"La Rioja","AR",3395,"Dinodontosaurus",242,237,-49.9808,-33.9335,4,"Dinodontosaurus"
"Arkhangelsk","RU",3377,"Elph",264.28,256.8,44.0349,28.9755,3,"Elph"
"Arkhangelsk","RU",3378,"Elph",264.28,256.8,44.0349,28.9755,3,"Elph"
"Arkhangelsk","RU",3376,"Elph",264.28,256.8,44.0349,28.9755,3,"Elph"
"Orenburg","RU",3299,"Rhadiodromus",247.2,242,48.8243,42.2106,3,"Rhadiodromus"
"Tatarstan","RU",3297,"Vivaxosaurus",264.28,254.14,43.046,36.2856,3,"Vivaxosaurus"
"Marrakech","MA",3291,"Moghreberia",237,201.4,5.2142,-4.8883,1,"Moghreberia"
"Marrakech","MA",3292,"Moghreberia",237,201.4,5.2142,-4.8883,1,"Moghreberia"
"San Juan","AR",3286,"Ischigualastia",237,227,-52.0012,-29.5316,4,"Ischigualastia"
"San Juan","AR",3287,"Ischigualastia",237,227,-52.0012,-29.5316,4,"Ischigualastia"
"San Juan","AR",3288,"Ischigualastia",237,227,-52.0012,-29.5316,4,"Ischigualastia"
"San Juan","AR",3289,"Ischigualastia",237,227,-52.0012,-29.5316,4,"Ischigualastia"
"San Juan","AR",3290,"Ischigualastia",237,227,-52.0012,-29.5316,4,"Ischigualastia"
"Rio Grande do Sul","BR",3270,"Stahleckeria",242,237,-49.0435,-14.582,4,"Stahleckeria"
"Rio Grande do Sul","BR",3269,"Dinodontosaurus",242,237,-49.0435,-14.582,4,"Dinodontosaurus"
"Western Cape","ZA",3267,"Diictodon",264.28,259.51,-62.7516,-22.8072,1,"Diictodon"
"Ruvuma","TZ",3266,"Dicynodon",259.51,254.14,-47.7841,17.7482,1,"Dicynodon"
"Ruvuma","TZ",3265,"Platypodosaurus",259.51,254.14,-47.7841,17.7482,1,"Platypodosaurus"
"Arizona","US",3262,"Placerias",227,208.5,1.3531,-47.1801,4,"Placerias"
"North Carolina","US",3260,"Placerias",237,227,-0.5164,-22.3104,4,"Placerias"
"Rio Grande do Sul","BR",3257,"Stahleckeria",242,237,-49.0435,-14.582,4,"Stahleckeria"
"Arizona","US",3243,"Placerias",227,208.5,1.3531,-47.1801,4,"Placerias"
"Colorado","US",3239,"Pentasauropus",227,208.5,3.8468,-47.0031,4,"Pentasauropus"
"Marrakech","MA",3233,"Moghreberia",237,227,5.2142,-4.8883,1,"Moghreberia"
"Marrakech","MA",3232,"Moghreberia",237,227,5.2142,-4.8883,1,"Moghreberia"
"Marrakech","MA",3231,"Moghreberia",237,227,5.2142,-4.8883,1,"Moghreberia"
"Rio Grande do Sul","BR",3204,"Stahleckeria",242,237,-49.0435,-14.582,4,"Stahleckeria"
"Eastern Cape","ZA",3199,"Eodicynodon",273.01,259.51,-66.2903,-29.7941,1,"Eodicynodon"
"Lesotho","LS",3165,"Pentasauropus",237,208.5,-60.911,8.5385,1,"Pentasauropus"
"Lesotho","LS",3164,"Pentasauropus",227,201.4,-56.0316,14.4488,1,"Pentasauropus"
"Arizona","US",3163,"Placerias",227,208.5,1.3531,-47.1801,4,"Placerias"
"Andhra Pradesh","IN",3124,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3125,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3126,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3127,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3128,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3129,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3130,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3131,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3132,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3133,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3134,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3135,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3136,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3137,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3138,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3139,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3140,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3141,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3142,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3143,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3144,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3145,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3146,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3147,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3148,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3149,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3150,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3151,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3152,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3153,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3118,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3119,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3120,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3121,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3122,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3123,"Endothiodon",259.51,254.14,-42.2372,55.9053,4,"Endothiodon"
"Andhra Pradesh","IN",3116,"Dicynodontoides",259.51,254.14,-42.2372,55.9053,4,"Dicynodontoides"
"Andhra Pradesh","IN",3115,"Sauroscaptor",259.51,254.14,-42.2372,55.9053,4,"Sauroscaptor"
"Andhra Pradesh","IN",3111,"Sauroscaptor",259.51,254.14,-42.2372,55.9053,4,"Sauroscaptor"
"Andhra Pradesh","IN",3112,"Sauroscaptor",259.51,254.14,-42.2372,55.9053,4,"Sauroscaptor"
"Andhra Pradesh","IN",3113,"Sauroscaptor",259.51,254.14,-42.2372,55.9053,4,"Sauroscaptor"
"Andhra Pradesh","IN",3114,"Sauroscaptor",259.51,254.14,-42.2372,55.9053,4,"Sauroscaptor"
"Andhra Pradesh","IN",3106,"Pristerodon",259.51,254.14,-42.2372,55.9053,4,"Pristerodon"
"Andhra Pradesh","IN",3107,"Pristerodon",259.51,254.14,-42.2372,55.9053,4,"Pristerodon"
"Andhra Pradesh","IN",3108,"Pristerodon",259.51,254.14,-42.2372,55.9053,4,"Pristerodon"
"Andhra Pradesh","IN",3109,"Pristerodon",259.51,254.14,-42.2372,55.9053,4,"Pristerodon"
"Andhra Pradesh","IN",3110,"Pristerodon",259.51,254.14,-42.2372,55.9053,4,"Pristerodon"
"Bashkortostan","RU",3015,"Elephantosaurus",242,237,51.5683,36.4314,3,"Elephantosaurus"
"Western Cape","ZA",2914,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2915,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2916,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2917,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2918,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2919,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2920,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2921,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2922,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2923,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2924,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2925,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2926,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2927,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2928,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2911,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2909,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2910,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2908,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2904,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2905,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2906,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2907,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2903,"Emydops",259.51,254.14,-60.8508,-19.3342,1,"Emydops"
"Western Cape","ZA",2902,"Pristerodon",259.51,254.14,-60.8508,-19.3342,1,"Pristerodon"
"Western Cape","ZA",2896,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2897,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2898,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2899,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2895,"Emydops",259.51,254.14,-60.8508,-19.3342,1,"Emydops"
"Western Cape","ZA",2894,"Pristerodon",259.51,254.14,-60.8508,-19.3342,1,"Pristerodon"
"Western Cape","ZA",2893,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2877,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2878,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2879,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2880,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2881,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2882,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2883,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2884,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2885,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2886,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2887,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2888,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2889,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2890,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2891,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2870,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2871,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2872,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2873,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2874,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2875,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2848,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2849,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2850,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2851,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2852,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2853,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2854,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2855,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2856,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2857,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2858,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2859,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2860,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2861,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2862,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2863,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2864,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2865,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2866,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2867,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2868,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2869,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2840,"Emydops",259.51,254.14,-60.8508,-19.3342,1,"Emydops"
"Western Cape","ZA",2839,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2831,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2832,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2833,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2834,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2835,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2836,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2837,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2830,"Pristerodon",259.51,254.14,-60.8508,-19.3342,1,"Pristerodon"
"Western Cape","ZA",2825,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2826,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2827,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2828,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2820,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2821,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2822,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2823,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2824,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",2819,"Pristerodon",259.51,254.14,-60.8508,-19.3342,1,"Pristerodon"
"Rio Negro","AR",2750,"Pentasauropus",247.2,201.4,-61.5423,-24.319,4,"Pentasauropus"
"Wyoming","US",2725,"Eubrachiosaurus",237,227,9.7144,-44.588,4,"Eubrachiosaurus"
"Arizona","US",2724,"Placerias",227,208.5,1.3531,-47.1801,4,"Placerias"
"Scotland","UK",2723,"Gordonia",254.14,251.902,27.7235,9.6273,3,"Gordonia"
"Scotland","UK",2722,"Gordonia",254.14,251.902,27.7235,9.6273,3,"Gordonia"
"Scotland","UK",2721,"Gordonia",254.14,251.902,27.7235,9.6273,3,"Gordonia"
"Scotland","UK",2720,"Gordonia",254.14,251.902,27.7235,9.6273,3,"Gordonia"
"Scotland","UK",2719,"Gordonia",254.14,251.902,27.7235,9.6273,3,"Gordonia"
"Scotland","UK",2718,"Gordonia",254.14,251.902,27.7235,9.6273,3,"Gordonia"
"Arizona","US",2716,"Placerias",227,208.5,1.3531,-47.1801,4,"Placerias"
"Arizona","US",2715,"Placerias",227,208.5,1.3531,-47.1801,4,"Placerias"
"Arizona","US",2714,"Placerias",227,208.5,1.3531,-47.1801,4,"Placerias"
"Arizona","US",2713,"Placerias",227,208.5,1.3531,-47.1801,4,"Placerias"
"Orenburg","RU",2711,"Rhadiodromus",247.2,242,48.8243,42.2106,3,"Rhadiodromus"
"Orenburg","RU",2710,"Rhinodicynodon",247.2,242,48.8243,42.2106,3,"Rhinodicynodon"
"Arizona","US",2709,"Placerias",227,208.5,1.6254,-50.2406,4,"Placerias"
"Arizona","US",2708,"Placerias",227,208.5,1.6254,-50.2406,4,"Placerias"
"Arizona","US",2707,"Placerias",227,208.5,1.6254,-50.2406,4,"Placerias"
"North Carolina","US",2706,"Placerias",237,227,-0.5164,-22.3104,4,"Placerias"
"Eastern Cape","ZA",2696,"Lanthanostegus",264.28,259.51,-65.1824,-18.1919,1,"Lanthanostegus"
"Eastern Cape","ZA",2697,"Lanthanostegus",264.28,259.51,-65.1824,-18.1919,1,"Lanthanostegus"
"Western Cape","ZA",2692,"Eodicynodon",266.9,264.28,-65.2444,-28.4547,1,"Eodicynodon"
"Eastern Cape","ZA",2691,"Eodicynodon",273.01,259.51,-66.2903,-29.7941,1,"Eodicynodon"
"Western Cape","ZA",2690,"Eodicynodon",266.9,264.28,-65.2444,-28.4547,1,"Eodicynodon"
