n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_1.0,n_species_2.0,n_species_3.0,n_species_4.0,n_occs_1.0,n_occs_2.0,n_occs_3.0,n_occs_4.0,n_locs_1.0,n_locs_2.0,n_locs_3.0,n_locs_4.0
119.3,522.7,45.2,91.49,9.0,119.3,48.65,72.98,90.55,2.94,14.0,70.89,42.11,2.94,36.0,249.49,234.27,1.94,1.0,34.12,11.59
121.19,605.57,33.28,94.36,9.0,136.87,30.59,64.32,66.15,20.78,1.48,41.43,64.89,88.19,2.44,144.68,370.26,3.93,1.48,15.25,9.93
115.91,644.73,31.52,88.37,10.0,138.7,22.76,83.7,75.0,27.26,0.52,21.92,72.91,124.87,1.56,89.83,428.47,4.13,0.52,6.63,11.48
124.0,291.0,51.0,102.0,10.0,130.0,35.0,110.0,65.84,43.0,12.0,38.0,41.0,75.0,27.0,114.0,75.0,10.0,2.0,15.0,8.0
80.26,334.86,21.93,64.71,5.0,85.84,41.52,53.1,100.82,24.02,19.84,39.87,4.78,78.57,60.25,186.89,9.15,7.04,4.95,27.34,2.19
128.75,479.58,47.7,106.13,5.0,133.56,77.92,112.07,76.2,35.56,34.66,60.53,13.38,130.88,132.41,186.5,29.79,15.49,11.64,43.37,7.42
97.69,300.66,45.83,82.49,5.0,97.69,61.14,94.39,41.18,29.79,24.16,39.63,10.51,123.2,39.64,115.76,22.06,15.95,14.46,25.34,5.39
44.47,480.88,15.48,41.48,7.5,44.48,32.79,37.94,13.99,29.96,4.9,11.56,0.0,424.27,10.7,45.91,0.0,19.94,2.95,9.9,0.0
18.21,101.31,3.37,18.15,4.8000000000000105,20.53,13.95,15.85,9.62,9.82,0.0,8.39,0.0,59.72,0.0,41.59,0.0,5.22,0.0,8.73,0.0
13.29,58.25,1.69,11.29,8.700000000000012,14.3,8.93,12.02,7.35,1.0,1.98,10.3,2.0,5.36,1.98,38.91,12.0,1.36,0.99,5.58,1.0
9.63,74.46,1.0,8.62,10.5,9.63,3.75,6.63,17.0,0.0,0.02,1.61,8.0,0.0,0.02,2.44,72.0,0.0,0.01,1.74,2.0
20.0,338.0,6.0,19.0,6.600000000000022,20.0,11.0,19.0,3.0,3.0,0.0,3.0,14.0,146.0,0.0,22.0,170.0,8.0,0.0,1.0,2.0
4.0,15.0,2.0,4.0,8.799999999999953,4.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,3.0
