n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_1.0,n_species_2.0,n_species_3.0,n_species_4.0,n_occs_1.0,n_occs_2.0,n_occs_3.0,n_occs_4.0,n_locs_1.0,n_locs_2.0,n_locs_3.0,n_locs_4.0
31.19,80.92,16.57,29.8,9.0,31.19,11.02,25.59,16.89,1.69,0.0,27.68,1.82,3.48,0.0,74.71,2.73,1.22,0.0,8.89,0.91
21.87,89.76,7.14,18.72,9.0,22.49,9.89,14.34,16.45,11.0,0.0,6.27,5.43,69.92,0.0,9.56,10.28,4.87,0.0,2.38,2.64
20.42,118.04,7.27,17.56,10.0,24.6,9.13,12.61,29.4,13.73,0.0,0.73,6.39,104.68,0.0,0.73,12.63,5.31,0.0,0.73,3.09
39.24,82.9,12.25,36.77,10.0,41.39,20.48,27.78,16.56,31.88,0.0,2.0,5.36,71.54,0.0,3.0,8.36,14.12,0.0,2.0,4.36
26.63,252.26,5.77,22.63,5.0,30.17,10.52,16.82,38.3,21.86,1.77,3.0,0.0,242.9,6.36,3.0,0.0,6.5,1.02,3.0,0.0
50.12,171.75,17.05,46.3,5.0,51.65,18.15,44.99,28.7,34.69,10.33,6.32,0.93,118.98,38.91,12.93,0.93,9.38,5.39,2.45,0.93
33.51,279.16,11.25,30.17,5.0,35.36,22.92,24.67,142.34,23.95,7.07,4.9,0.07,259.7,14.03,5.36,0.07,12.57,5.68,4.6,0.07
153.01,1270.66,55.64,144.85,7.5,153.03,41.39,123.91,85.04,128.3,11.87,17.35,0.57,1213.07,17.68,39.15,0.76,25.06,6.89,9.25,0.19
112.1,400.27,39.68,104.8,4.8000000000000105,114.16,27.91,96.6,43.18,72.32,0.02,40.44,0.51,298.96,0.02,100.61,0.68,14.2,0.02,13.52,0.17
58.79,210.94,20.63,55.44,8.700000000000012,60.74,25.83,51.72,17.63,17.52,3.0,29.55,8.78,30.4,9.0,136.46,35.08,10.0,1.0,12.97,1.86
24.59,137.05,6.75,20.87,10.5,26.65,11.58,16.58,14.18,0.96,0.0,5.35,18.28,0.98,0.0,6.59,129.48,0.72,0.0,3.76,7.1
22.7,111.81,9.81,16.58,6.600000000000022,24.25,11.26,16.39,28.14,0.55,0.0,6.43,16.72,0.56,0.0,6.43,104.82,0.4,0.0,2.98,7.88
36.0,147.48,20.19,29.59,19.70000000000003,36.0,31.92,36.0,0.0,0.77,0.0,13.47,26.76,0.83,0.0,21.47,125.18,0.65,0.0,9.47,21.8
