Taxon,Locality,MaxAge,MinAge,Area
Icarosaurus,12856,227.0,208.5,US
Rutiodon,12856,227.0,208.5,US
Kuehneosuchus,12857,208.5,201.4,UK
Kuehneosaurus,12858,208.5,201.4,UK
Procolophon,13043,251.902,247.2,ZA
Araeoscelis,13044,290.1,283.5,US
Araeoscelis,13044,290.1,283.5,US
Clevosaurus,13173,237.0,227.0,UK
Diphydontosaurus,13173,237.0,227.0,UK
Diphydontosaurus,13174,237.0,227.0,UK
Terrestrisuchus,13174,237.0,227.0,UK
Planocephalosaurus,13174,237.0,227.0,UK
Sigmala,13174,237.0,227.0,UK
Kuehneosaurus,13174,237.0,227.0,UK
Clevosaurus,13175,237.0,227.0,UK
Planocephalosaurus,13175,237.0,227.0,UK
Terrestrisuchus,13175,237.0,227.0,UK
Diphydontosaurus,13175,237.0,227.0,UK
Sigmala,13175,237.0,227.0,UK
Planocephalosaurus,13176,237.0,227.0,UK
Clevosaurus,13176,237.0,227.0,UK
Terrestrisuchus,13176,237.0,227.0,UK
Diphydontosaurus,13176,237.0,227.0,UK
Sigmala,13176,237.0,227.0,UK
Kuehneosaurus,13176,237.0,227.0,UK
Sigmala,13177,237.0,227.0,UK
Pelecymala,13177,237.0,227.0,UK
Planocephalosaurus,13177,237.0,227.0,UK
Planocephalosaurus,13178,237.0,227.0,UK
Clevosaurus,13178,237.0,227.0,UK
Sigmala,13178,237.0,227.0,UK
Kuehneosaurus,13178,237.0,227.0,UK
Planocephalosaurus,13179,237.0,227.0,UK
Clevosaurus,13179,237.0,227.0,UK
Sigmala,13179,237.0,227.0,UK
Kuehneosaurus,13179,237.0,227.0,UK
Planocephalosaurus,13180,237.0,227.0,UK
Clevosaurus,13180,237.0,227.0,UK
Sigmala,13180,237.0,227.0,UK
Kuehneosaurus,13180,237.0,227.0,UK
Planocephalosaurus,13181,237.0,227.0,UK
Clevosaurus,13181,237.0,227.0,UK
Sigmala,13181,237.0,227.0,UK
Planocephalosaurus,13182,237.0,227.0,UK
Planocephalosaurus,13183,237.0,227.0,UK
Clevosaurus,13183,237.0,227.0,UK
Terrestrisuchus,13183,237.0,227.0,UK
Diphydontosaurus,13183,237.0,227.0,UK
Trilophosaurus,13266,227.0,208.5,US
Lewisuchus,13271,242.0,237.0,AR
Lagerpeton,13271,242.0,237.0,AR
Postosuchus,13273,227.0,208.5,US
Postosuchus,13273,227.0,208.5,US
Desmatosuchus,13273,227.0,208.5,US
Trilophosaurus,13273,227.0,208.5,US
Efraasia,13285,227.0,208.5,DE
Neusticosaurus,13344,247.2,237.0,CH
Mixosaurus,13344,247.2,237.0,CH
Rhipaeosaurus,22644,266.9,264.28,RU
Plateosaurus,22680,227.0,208.5,CH
Aetosaurus,22680,227.0,208.5,CH
Saltoposuchus,22680,227.0,208.5,CH
Liliensternus,22680,227.0,208.5,CH
Plateosaurus,22683,227.0,208.5,DE
Plateosaurus,22683,227.0,208.5,DE
Proganochelys,22683,227.0,208.5,DE
Proganochelys,22683,227.0,208.5,DE
Proganochelys,22683,227.0,208.5,DE
Liliensternus,22683,227.0,208.5,DE
Proganochelys,22684,208.5,201.4,DE
Liliensternus,22684,208.5,201.4,DE
Elachistosuchus,22684,208.5,201.4,DE
Captorhinus,22715,283.5,273.01,US
Captorhinus,22715,283.5,273.01,US
Eoraptor,24877,237.0,227.0,AR
Eoraptor,24877,237.0,227.0,AR
Herrerasaurus,24877,237.0,227.0,AR
Saurosuchus,24877,237.0,227.0,AR
Aetosauroides,24877,237.0,227.0,AR
Herrerasaurus,24878,237.0,227.0,AR
Terrestrisuchus,25298,237.0,227.0,UK
Agnosphitys,25298,237.0,227.0,UK
Luperosuchus,26092,242.0,237.0,AR
Lagerpeton,26092,242.0,237.0,AR
Chanaresuchus,26092,242.0,237.0,AR
Gualosuchus,26092,242.0,237.0,AR
Gracilisuchus,26092,242.0,237.0,AR
Marasuchus,26092,242.0,237.0,AR
Lewisuchus,26092,242.0,237.0,AR
Tropidosuchus,26092,242.0,237.0,AR
Tarjadia,26092,242.0,237.0,AR
Pisanosaurus,26452,237.0,227.0,AR
Bradysaurus,26710,264.28,259.51,ZA
Arcticodactylus,26995,227.0,208.5,GL
Proganochelys,26997,216.7,213.2,GL
Aetosaurus,26998,227.0,208.5,GL
Aetosaurus,26998,227.0,208.5,GL
Plateosaurus,26998,227.0,208.5,GL
Issi,26996,227.0,208.5,GL
Pantydraco,27012,237.0,227.0,UK
Eumetabolodon,27134,251.2,242.0,CN
Eumetabolodon,27158,251.2,242.0,CN
Youngetta,27160,251.902,247.2,CN
Belebey,27341,266.9,264.28,RU
Rothianiscus,27400,273.01,264.28,US
