Taxon,Locality,MaxAge,MinAge,Area
Stenaulorhynchus,11753,247.2,242.0,Riograndia
Mesosuchus,7838,247.2,242.0,Riograndia
Mesosuchus,6546,247.2,242.0,Riograndia
Mesosuchus,5887,247.2,242.0,Riograndia
Eohyosaurus,K11831,247.2,242.0,Riograndia
Mesosuchus,7701,247.2,242.0,Riograndia
Hyperodapedon,sem numero,227.0,208.5,Cynognathus 
Hyperodapedon,"11561, UFSM 11562",227.0,208.5,Cynognathus 
Hyperodapedon,11733,227.0,208.5,Cynognathus 
Hyperodapedon,"11672a, b c",227.0,208.5,Cistecephalus 
Prestosuchus,657-136 (659-138),242.0,237.0,Riograndia
Hyperodapedon,327,227.0,208.5,Cynognathus 
Hyperodapedon,032 T,227.0,208.5,Cynognathus 
Hyperodapedon,4555,227.0,208.5,Cynognathus 
Hyperodapedon,1635,227.0,208.5,Cynognathus 
Hyperodapedon,1637,227.0,208.5,Cynognathus 
Prestosuchus,4167,242.0,237.0,Hyperodapedon
Hyperodapedon,1583,227.0,208.5,Cynognathus 
Hyperodapedon,44,227.0,208.5,Cynognathus 
Hyperodapedon,0044 a,227.0,208.5,Cynognathus 
Hyperodapedon,0247 T,227.0,208.5,Cynognathus 
Brasinorhynchus,0315 T,242.0,237.0,Hyperodapedon
Clevosaurus,2852,227.0,208.5,Cynognathus 
Aetosauroides,3,227.0,208.5,Cynognathus 
Kuruxuchampsa,0877 T,237.0,227.0,Hyperodapedon
Prestosuchus,0629 T,242.0,237.0,Hyperodapedon
Gamatavus,11348a,242.0,237.0,Hyperodapedon
Aetosauroides,2347,227.0,208.5,Cynognathus 
Aetosauroides,1514-T,227.0,208.5,Cynognathus 
Aetosauroides,11070,227.0,208.5,Cynognathus 
Gnathovorax,9,227.0,208.5,Cynognathus 
Parvosuchus,412,242.0,237.0,Dinodontosaurus
Venetoraptor,356,227.0,208.5,"Cynognathus , Cynognathus B subzone"
Amanasaurus,375,227.0,208.5,Cynognathus
Amanasaurus,374,227.0,208.5,Hyperodapedon
Macrocollum,0001d ,227.0,208.5,Hyperodapedon
Unaysaurus,11712,227.0,208.5,Hyperodapedon
Buriolestes,35,227.0,208.5,Hyperodapedon
Candelaria,225,242.0,237.0,Hyperodapedon
Pampadromaeus,28,227.0,208.5,Dinodontosaurus
Stenoscelida,293,227.0,208.5,Hyperodapedon
Buriolestes,244,227.0,208.5,Hyperodapedon
Nhandumirim,LPRP/USP 0651,227.0,208.5,Hyperodapedon
Saturnalia,3845 PV,227.0,208.5,Hyperodapedon
Guaibasaurus,10112,227.0,208.5,Hyperodapedon
Guaibasaurus,2356,227.0,208.5,Dinodontosaurus
Maehary,300,227.0,208.5,Hyperodapedon
Teyumbaita,399,227.0,208.5,Hyperodapedon
Procolophon,680,251.2,247.2,Hyperodapedon
Procolophon,55,251.2,247.2,Hyperodapedon
Procolophon,2722,251.2,247.2,Hyperodapedon
Procolophon,0494 T,251.2,247.2,Hyperodapedon
Provelosaurus,0359 P,266.9,264.3,Hyperodapedon
Provelosaurus,0376 P,266.9,264.3,Dinodontosaurus
Provelosaurus,0358 P,266.9,264.3,Riograndia
Provelosaurus,0232 P (paratype),266.9,264.3,Provelosaurus
Buriolestes,280 (holotype),227.0,208.5,Hyperodapedon
Ixalerpeton,59,227.0,208.5,Hyperodapedon
Hyperodapedon,1664,227.0,208.5,Hyperodapedon
Clevosaurus,1152 T,227.0,208.5,Hyperodapedon
Hyperodapedon,"0002 V, 0003 V  0005 V",227.0,208.5,Hyperodapedon
Clevosaurus,0974 T,227.0,208.5,Dinodontosaurus
Hyperodapedon,11221b,227.0,208.5,Hyperodapedon
Hyperodapedon,11221a,227.0,208.5,Hyperodapedon
Hyperodapedon,000001 R,227.0,208.5,Procolophon
Prestosuchus,000377 R,242.0,237.0,Dinodontosaurus
Clevosaurus,10206,227.0,208.5,Procolophon
Provelosaurus,8675,266.9,264.3,Hyperodapedon
Hyperodapedon,12258,227.0,208.5,Procolophon
Procolophon,1888,251.2,247.2,Hyperodapedon
Hyperodapedon,MCT/s_n? 110,227.0,208.5,Procolophon
Hyperodapedon,MCT/s_n? 99,227.0,208.5,Procolophon
Microsphenodon,0972 T,227.0,208.5,Hyperodapedon
Hyperodapedon,MCT/s_n? 98,227.0,208.5,Procolophon
Hyperodapedon,MCT/s_n? 97,227.0,208.5,Procolophon
Hyperodapedon,000061 R,227.0,208.5,Procolophon
Hyperodapedon,MCT/s_n? 10,227.0,208.5,Procolophon
Hyperodapedon,MCT/s_n? 6,227.0,208.5,Procolophon
Hyperodapedon,000307 R,227.0,208.5,Procolophon
Hyperodapedon,000187 R,227.0,208.5,Procolophon
Hyperodapedon,000191 R,227.0,208.5,Hyperodapedon
Hyperodapedon,000295 R b,227.0,208.5,Procolophon
Hyperodapedon,000295 R a,227.0,208.5,Hyperodapedon
Clevosaurus,0753 T,227.0,208.5,Riograndia
Hyperodapedon,000184 R,227.0,208.5,Hyperodapedon
Hyperodapedon,000009 R,227.0,208.5,Hyperodapedon
Hyperodapedon,000006 V,227.0,208.5,Hyperodapedon
Hyperodapedon,000004 V,227.0,208.5,Hyperodapedon
Hyperodapedon,11067,227.0,208.5,Hyperodapedon
Hyperodapedon,11035,227.0,208.5,Hyperodapedon
Procolophon,749,251.2,247.2,Procolophon
Procolophon,747,251.2,247.2,Hyperodapedon
Procolophon,736,251.2,247.2,Hyperodapedon
Clevosaurus,0746 T,227.0,208.5,Hyperodapedon
Procolophon,711,251.2,247.2,Hyperodapedon
Procolophon,710,251.2,247.2,Hyperodapedon
Procolophon,708,251.2,247.2,Hyperodapedon
Procolophon,707,251.2,247.2,Hyperodapedon
Procolophon,706,251.2,247.2,Hyperodapedon
Procolophon,705,251.2,247.2,Hyperodapedon
Procolophon,704,251.2,247.2,Hyperodapedon
Procolophon,732,251.2,247.2,Hyperodapedon
Procolophon,731,251.2,247.2,Hyperodapedon
Buriolestes,268,227.0,208.5,Hyperodapedon
Clevosaurus,0740 T,227.0,208.5,Santacruzodon
Procolophon,748,251.2,247.2,Hyperodapedon
Hyperodapedon,1634,227.0,208.5,Hyperodapedon
Hyperodapedon,1638,227.0,208.5,Hyperodapedon
Hyperodapedon,1636,227.0,208.5,Hyperodapedon
Hyperodapedon,MCT/s_n? 96,227.0,208.5,Hyperodapedon
Hyperodapedon,MCT/s_n? 27,227.0,208.5,Hyperodapedon
Hyperodapedon,MCT/s_n? 26,227.0,208.5,Hyperodapedon
Hyperodapedon,MCT/s_n? 25,227.0,208.5,Hyperodapedon
Hyperodapedon,MCT/s_n? 24,227.0,208.5,Hyperodapedon
Hyperodapedon,MCT/s_n? 23,227.0,208.5,Hyperodapedon
Clevosaurus,0735 T,227.0,208.5,Dinodontosaurus
Hyperodapedon,000304 R,227.0,208.5,Hyperodapedon
Hyperodapedon,1387,227.0,208.5,Hyperodapedon
Hyperodapedon,567,227.0,208.5,Hyperodapedon
Hyperodapedon,1381,227.0,208.5,Hyperodapedon
Hyperodapedon,858,227.0,208.5,Exaeretodon
Hyperodapedon,3847,227.0,208.5,Hyperodapedon
Hyperodapedon,859,227.0,208.5,Hyperodapedon
Hyperodapedon,4605,227.0,208.5,Hyperodapedon
Hyperodapedon,3449,227.0,208.5,Hyperodapedon
Hyperodapedon,1498,227.0,208.5,-
Hyperodapedon,807,227.0,208.5,-
Hyperodapedon,1393,227.0,208.5,-
Hyperodapedon,698,227.0,208.5,-
Teyumbaita,3863,227.0,208.5,-
Hyperodapedon,5.2828,227.0,208.5,-
Hyperodapedon,05.2512 e 05.2512.1,227.0,208.5,-
Hyperodapedon,5.2502,227.0,208.5,-
Hyperodapedon,17,227.0,208.5,-
Lessemsaurus,4822/64? or 26 to 49,227.0,208.5,-
Coloradisaurus,4822/64? or 26 to 49,227.0,208.5,-
Lessemsaurus,4822 ? 78?4822 ? 79,227.0,208.5,-
Lessemsaurus,4822 ? 77,227.0,208.5,-
