year,n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,present_diversity
199.3,210.92,1113.25,78.98,174.64,18,210.92,79.08,138.38,65.08,2.31,15.42,99.38,111.54,6.3,38.26,389.77,678.92,1.88,2.42,49.51,25.27,0
217,115.38,659.75,31.02,88.34,10,137.62,22.92,82.62,75,1.69,0.58,21.8,97.19,6.7,1.74,94.23,557.08,1.12,0.58,6.49,14.73,0
227,124,291,51,101,10,130,35,110,65.71,9,12,38,75,16,27,114,134,4,2,15,14,0
237,80.21,336.04,22.22,64.67,5,85.71,41.41,53.38,100.43,3.66,20.08,40.03,24.6,5.22,60.67,188.93,81.22,3.15,5.01,27.48,5.77,0
242,127.68,473.66,47.17,105.23,5,132.76,77.56,110.34,76.74,30,34.53,59.9,18.4,111.1,131.98,183.39,47.19,12.23,11.66,43.06,10.61,0
247,99.16,300.07,46.03,82.62,5,99.16,61.62,95.81,41.07,21.51,24.31,39.79,21.94,80.96,39.69,116.83,62.59,11.09,14.4,25.51,10.62,0
252,44.39,482.37,15.54,41.39,7.5,44.42,32.79,38,14.14,30.09,4.83,11.39,0,427.21,10.61,44.55,0,20.07,2.91,9.81,0,0
259.5,18.3,105.07,3.32,18.23,4.8,20.56,14.03,15.78,9.49,9.06,0.03,8.48,0.73,61.51,0.05,42.78,0.73,4.46,0.02,8.82,0.73,0
264.3,13.26,58.1,1.72,11.26,8.7,14.27,8.75,12.04,7.42,0,1.98,10.27,3,0,1.98,38.85,17.27,0,0.99,5.49,2.27,0
273,9.65,74.69,1,8.64,10.5,9.65,3.84,6.65,17,0,0.02,1.63,8,0,0.02,2.67,72,0,0.01,1.83,2,0
283.5,20,338,6,17,6.6,20,11,19,3,2,0,3,17,13,0,22,303,2,0,1,8,0
290.1,4,15,2,4,8.8,4,4,4,0,0,0,1,3,0,0,1,14,0,0,1,3,0
