n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,present_diversity
118.93,521.41,45.04,91.11,9.0,118.93,48.5,72.92,94.25,2.97,14.0,71.22,41.53,2.97,36.0,250.02,232.42,1.97,1.0,34.04,11.49,0.0
125.08,643.52,34.64,98.17,9.0,140.26,30.85,67.06,62.82,21.94,1.45,40.98,67.97,98.33,2.35,146.69,396.15,3.74,1.45,15.31,10.35,0.0
112.13,608.07,30.32,85.22,10.0,136.02,22.65,81.02,75.0,26.09,0.55,21.88,70.45,114.7,1.65,87.29,404.43,4.29,0.55,6.65,11.16,0.0
124.0,291.0,51.0,102.0,10.0,130.0,35.0,110.0,65.65,43.0,12.0,38.0,41.0,75.0,27.0,114.0,75.0,10.0,2.0,15.0,8.0,0.0
80.06,337.31,22.11,64.56,5.0,85.65,41.44,53.55,100.63,23.9,19.78,40.13,4.45,78.42,60.19,190.2,8.5,6.99,4.92,27.48,2.05,0.0
127.99,472.61,47.35,105.42,5.0,132.73,77.71,110.57,76.87,35.05,34.7,60.19,13.5,129.58,131.15,182.51,29.37,15.42,11.67,43.14,7.48,0.0
99.03,303.11,46.09,83.78,5.0,99.03,61.46,95.53,41.02,30.83,24.26,39.5,10.74,122.74,40.86,116.38,23.13,16.13,14.45,25.41,5.47,0.0
44.51,482.74,15.45,41.51,7.5,44.52,32.89,38.05,13.85,29.96,4.92,11.59,0.0,426.78,10.8,45.16,0.0,19.98,2.96,9.95,0.0,0.0
17.96,101.25,3.46,17.96,4.8000000000000105,20.32,13.79,15.76,9.6,9.59,0.0,8.37,0.0,59.04,0.0,42.21,0.0,5.04,0.0,8.75,0.0,0.0
13.16,58.58,1.54,11.16,8.700000000000012,14.16,9.07,11.99,7.38,1.0,2.0,10.16,2.0,5.44,2.0,39.14,12.0,1.44,1.0,5.63,1.0,0.0
9.55,74.4,1.0,8.55,10.5,9.55,3.64,6.55,17.0,0.0,0.0,1.55,8.0,0.0,0.0,2.4,72.0,0.0,0.0,1.64,2.0,0.0
20.0,338.0,6.0,19.0,6.600000000000022,20.0,11.0,19.0,3.0,3.0,0.0,3.0,14.0,146.0,0.0,22.0,170.0,8.0,0.0,1.0,2.0,0.0
4.0,15.0,2.0,4.0,8.799999999999953,4.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,3.0,0.0
