n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,present_diversity
47.69,168.53,23.7,45.37,18.0,47.69,20.55,39.74,17.23,3.11,0.0,29.63,15.88,6.81,0.0,84.28,77.44,2.79,0.0,11.28,6.48,0.0
21.01,121.12,7.53,19.09,10.0,25.18,9.57,13.15,29.33,2.59,0.0,0.72,18.2,5.87,0.0,0.72,114.53,2.55,0.0,0.72,6.3,0.0
39.26,82.33,12.1,33.36,10.0,41.36,20.41,27.4,16.26,4.31,0.0,2.0,34.3,11.5,0.0,3.0,67.83,3.36,0.0,2.0,15.05,0.0
26.78,252.02,5.67,18.42,5.0,30.22,10.5,16.83,37.72,1.76,1.77,3.0,20.61,3.56,6.52,3.0,238.94,1.04,1.01,3.0,5.45,0.0
49.71,168.45,16.64,39.91,5.0,51.11,18.14,44.15,28.8,28.86,10.33,6.38,7.67,105.95,38.75,12.93,10.82,5.75,5.37,2.48,4.54,0.0
33.88,279.07,11.54,28.77,5.0,35.76,22.97,25.41,142.78,22.81,7.12,5.0,2.77,222.41,14.12,5.72,36.82,11.07,5.69,4.63,1.58,0.0
153.09,1274.68,55.65,140.88,7.5,153.13,41.71,124.25,84.79,126.35,11.83,17.88,6.21,1162.77,17.61,41.45,52.85,22.93,6.93,9.65,2.2,0.0
111.74,401.46,39.48,101.66,4.8000000000000105,113.67,27.66,96.45,43.16,71.19,0.0,39.64,2.43,299.59,0.0,99.3,2.57,13.3,0.0,12.87,1.49,0.0
58.42,206.19,20.89,54.81,8.700000000000012,60.38,25.8,51.2,18.32,15.33,3.0,29.78,10.41,27.34,9.0,135.94,33.91,7.56,1.0,13.29,3.95,0.0
25.43,139.2,7.11,21.52,10.5,27.5,11.25,17.26,13.34,0.78,0.0,5.59,19.06,0.85,0.0,5.98,132.37,0.65,0.0,3.74,6.86,0.0
22.06,110.98,9.09,15.79,6.600000000000022,23.58,11.33,15.74,28.58,0.57,0.0,6.07,16.42,0.62,0.0,6.07,104.29,0.46,0.0,2.73,8.14,0.0
36.42,148.97,20.6,29.9,19.70000000000003,36.42,32.11,36.42,0.0,0.71,0.0,13.61,27.1,0.73,0.0,21.61,126.63,0.54,0.0,9.61,21.96,0.0
