n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_1.0,n_species_2.0,n_species_3.0,n_species_4.0,n_occs_1.0,n_occs_2.0,n_occs_3.0,n_occs_4.0,n_locs_1.0,n_locs_2.0,n_locs_3.0,n_locs_4.0
93.22,308.23,38.85,76.89,9.0,93.22,38.92,59.43,92.22,2.97,14.0,58.02,21.09,2.97,36.0,199.26,70.0,1.97,1.0,28.28,7.67
114.22,523.77,34.24,96.09,9.0,126.01,32.23,60.61,63.56,25.46,1.7,36.67,56.34,96.82,2.23,132.19,292.53,3.68,1.83,16.69,10.03
108.72,541.0,33.91,90.58,10.0,128.96,21.85,81.96,86.0,31.88,0.87,17.76,63.27,124.21,1.77,75.55,339.47,4.35,1.17,7.03,9.3
129.0,291.0,60.0,112.0,10.0,133.0,39.0,116.0,73.58,46.0,12.0,37.0,39.0,78.0,27.0,118.0,68.0,10.0,2.0,18.0,9.0
87.35,398.35,28.05,73.47,5.0,90.58,60.53,58.2,101.1,32.1,20.06,40.5,3.66,101.52,60.47,229.02,7.34,11.37,5.06,42.66,1.44
129.13,527.44,48.63,110.74,4.6999999999999895,133.48,76.58,116.81,75.52,36.01,35.21,59.89,13.54,133.52,136.28,225.98,31.66,14.67,12.01,43.34,6.56
92.19,302.93,45.9,80.12,5.300000000000009,92.19,52.6,88.68,42.39,30.01,22.15,36.03,10.0,138.35,34.49,109.09,21.0,16.58,8.99,22.03,5.0
45.87,479.43,15.9,42.87,7.5,45.9,33.77,38.38,13.09,30.82,4.86,12.12,0.0,421.06,10.74,47.63,0.0,18.83,2.93,12.01,0.0
17.25,98.64,2.52,17.2,4.8000000000000105,20.61,13.17,14.95,12.32,9.62,0.02,7.61,0.0,59.17,0.02,39.45,0.0,5.17,0.01,7.99,0.0
16.98,61.21,6.0,14.98,10.100000000000016,17.98,10.35,16.98,9.0,1.0,2.0,12.98,3.0,5.38,2.0,40.83,13.0,1.38,1.0,5.97,2.0
10.0,74.0,3.0,9.0,9.100000000000021,10.0,3.0,7.0,17.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,73.0,0.0,0.0,1.0,2.0
20.0,339.0,6.0,19.0,6.600000000000022,20.0,13.0,19.0,3.0,3.0,0.0,3.0,14.0,147.0,0.0,22.0,170.0,10.0,0.0,1.0,2.0
4.0,15.0,2.0,4.0,8.799999999999953,4.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,3.0
