n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_1.0,n_species_2.0,n_species_3.0,n_species_4.0,n_occs_1.0,n_occs_2.0,n_occs_3.0,n_occs_4.0,n_locs_1.0,n_locs_2.0,n_locs_3.0,n_locs_4.0
69.09,216.66,26.21,57.57,9.0,69.09,31.22,41.39,79.18,2.91,14.0,33.59,21.41,2.91,36.0,107.12,70.63,1.91,1.0,20.6,7.71
97.73,480.37,29.83,82.03,9.0,106.88,26.47,51.62,63.73,23.56,0.72,30.67,48.22,90.83,1.41,116.57,271.56,3.53,0.95,14.0,7.99
104.4,552.97,31.96,87.76,10.0,118.99,18.31,77.99,71.0,32.3,0.77,16.68,59.87,129.26,1.59,77.31,344.81,4.56,1.05,5.4,7.3
109.0,243.0,55.0,97.0,10.0,112.0,31.0,104.0,45.94,46.0,2.0,29.0,37.0,78.0,4.0,99.0,62.0,10.0,2.0,11.0,8.0
51.37,149.61,19.5,48.94,5.0,53.94,22.84,40.89,69.71,27.38,6.5,18.97,0.52,93.83,10.0,44.74,1.04,7.49,2.5,12.33,0.52
80.33,316.06,31.15,74.76,4.6999999999999895,82.76,51.18,75.0,62.31,29.61,15.15,32.57,7.0,116.17,88.67,94.26,16.96,11.51,10.52,24.67,4.48
70.07,250.11,37.79,64.97,5.300000000000009,70.07,41.53,66.7,42.6,28.83,14.21,28.03,1.0,131.51,17.51,100.09,1.0,15.47,6.03,19.03,1.0
45.94,483.26,15.89,42.94,7.5,45.97,33.94,38.48,13.19,30.98,4.9,12.0,0.0,426.88,10.82,45.56,0.0,19.04,2.95,11.95,0.0
17.29,100.88,2.67,17.21,4.8000000000000105,20.68,13.23,14.94,12.25,9.73,0.0,7.56,0.0,59.33,0.0,41.55,0.0,5.17,0.0,8.06,0.0
16.99,61.08,6.0,14.99,10.100000000000016,17.99,10.28,16.99,9.0,0.99,2.0,13.0,3.0,5.28,2.0,40.8,13.0,1.32,1.0,5.96,2.0
10.0,74.0,3.0,9.0,9.100000000000021,10.0,3.0,7.0,14.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,73.0,0.0,0.0,1.0,2.0
17.0,192.0,6.0,16.0,6.600000000000022,17.0,3.0,16.0,3.0,0.0,0.0,3.0,14.0,0.0,0.0,22.0,170.0,0.0,0.0,1.0,2.0
4.0,15.0,2.0,4.0,8.799999999999953,4.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,3.0
