n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_1.0,n_species_2.0,n_species_3.0,n_species_4.0,n_occs_1.0,n_occs_2.0,n_occs_3.0,n_occs_4.0,n_locs_1.0,n_locs_2.0,n_locs_3.0,n_locs_4.0
29.32,78.33,15.75,26.32,9.0,29.32,9.3,24.82,12.24,0.0,0.0,27.4,3.64,0.0,0.0,73.78,4.55,0.0,0.0,8.39,0.91
16.74,93.41,4.23,14.31,9.0,16.74,5.23,10.81,11.44,7.19,0.0,5.83,4.21,75.38,0.0,9.22,8.81,1.81,0.0,1.61,1.81
13.67,92.26,4.02,12.08,10.0,17.37,4.47,8.37,24.0,8.52,0.0,0.0,5.15,80.62,0.0,0.0,11.64,2.19,0.0,0.0,2.28
32.0,63.0,11.0,30.0,10.0,33.0,15.0,25.0,20.18,25.0,0.0,2.0,5.0,52.0,0.0,3.0,8.0,9.0,0.0,2.0,4.0
26.69,249.24,7.51,24.69,5.0,28.18,10.45,15.25,40.42,22.11,1.58,3.0,0.0,240.79,5.45,3.0,0.0,6.57,0.88,3.0,0.0
52.33,202.08,17.09,49.33,4.6999999999999895,53.35,21.57,47.7,29.9,36.73,10.6,6.0,1.0,147.7,40.38,13.0,1.0,11.92,6.65,2.0,1.0
33.68,285.36,12.65,31.49,5.300000000000009,35.55,25.37,25.38,140.87,24.69,6.87,4.12,0.0,267.2,13.74,4.42,0.0,15.72,5.59,4.06,0.0
151.03,1268.24,56.69,144.03,7.5,151.04,40.33,124.4,82.88,127.33,11.76,16.99,0.0,1213.16,17.42,37.66,0.0,23.87,7.87,8.59,0.0
109.15,394.08,39.8,102.45,4.8000000000000105,109.52,22.9,99.96,36.3,70.46,0.01,39.89,0.0,295.62,0.01,98.45,0.0,9.78,0.01,13.11,0.0
45.85,171.56,15.96,44.33,10.100000000000016,45.86,20.88,42.02,12.73,9.16,3.0,29.69,4.0,16.53,9.0,138.03,8.0,5.14,1.0,13.74,1.0
15.57,91.38,5.0,12.57,9.100000000000021,16.57,6.78,8.78,13.73,0.0,0.0,3.69,11.88,0.0,0.0,3.84,87.54,0.0,0.0,2.2,4.58
21.52,115.88,8.92,16.75,6.600000000000022,21.52,11.5,15.75,6.99,0.0,0.0,6.36,16.16,0.0,0.0,9.4,106.48,0.0,0.0,4.06,7.44
12.76,76.18,5.38,8.76,8.799999999999953,12.76,13.22,12.76,0.0,0.0,0.0,6.24,9.33,0.0,0.0,14.2,61.98,0.0,0.0,4.24,8.98
