n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_species_area_5,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_occs_area_5,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,n_locs_area_5,present_diversity
153.7,1295.0,14.7,100.7,0.129,153.7,546.8,31.8,47.9,32.4,49.3,38.2,61.4,22.4,72.6,118.2,211.7,835.7,56.8,20.3,45.0,107.7,337.9,35.9,313.0
145.2,644.5,12.3,91.6,0.6449999999999999,169.8,192.0,24.7,62.9,21.6,49.9,47.5,57.7,8.0,35.4,155.3,149.0,296.1,8.7,9.5,39.9,48.4,89.0,5.2,0.0
188.4,724.4,28.2,133.4,1.026,208.0,211.8,67.0,68.3,37.8,75.1,52.0,55.4,13.7,85.3,266.5,176.0,178.6,18.0,18.8,61.2,55.2,71.2,5.4,0.0
191.4,630.8,24.5,135.8,0.7800000000000001,209.3,167.6,77.1,56.0,60.9,48.1,53.7,55.3,11.4,137.9,92.2,205.4,180.5,14.8,19.3,23.0,54.1,66.9,4.3,0.0
153.8,493.2,13.6,108.4,1.0199999999999998,188.2,158.6,60.2,33.4,31.4,30.5,57.2,59.8,1.3,56.9,48.9,176.8,209.3,1.3,18.1,21.8,50.3,67.9,0.5,0.0
116.9,256.0,10.3,85.2,0.8665,161.4,98.3,52.1,38.8,29.4,12.9,34.4,50.2,0.2,41.3,16.4,65.2,132.9,0.2,13.7,10.5,23.5,50.5,0.1,0.0
114.3,201.8,6.8,85.0,0.8665,148.1,82.0,44.7,75.9,26.3,11.6,29.7,55.7,0.8,38.6,15.6,46.4,100.4,0.8,13.9,11.1,20.5,36.0,0.5,0.0
139.4,318.8,15.2,101.7,0.9564999999999999,179.3,88.9,31.4,45.0,30.9,41.7,32.5,46.5,4.5,58.8,80.4,49.4,124.1,6.1,15.5,19.2,13.0,39.3,1.9,0.0
138.2,318.8,13.0,97.5,0.9564999999999999,192.9,92.0,36.6,41.0,23.8,36.4,46.2,49.8,2.6,28.7,71.9,89.1,126.5,2.6,9.0,19.4,20.3,42.1,1.2,0.0
136.0,440.4,9.7,95.4,1.096,197.3,136.1,37.5,45.0,2.7,39.2,55.4,55.4,5.1,2.8,92.3,179.3,159.8,6.2,1.0,33.5,43.7,53.7,4.2,0.0
145.4,374.2,12.3,100.4,1.096,204.8,129.6,51.2,50.3,4.5,40.8,59.4,58.4,1.0,4.5,82.8,132.4,153.5,1.0,2.1,30.4,41.5,54.8,0.8,0.0
147.2,302.5,13.1,105.1,1.096,203.9,108.2,56.4,36.2,5.2,25.3,69.7,57.9,1.2,6.0,37.5,137.4,120.3,1.3,3.9,14.1,41.2,47.9,1.1,0.0
132.0,282.3,6.8,95.6,1.096,183.7,101.7,41.5,42.9,4.9,24.6,66.5,43.4,1.1,5.0,34.5,112.4,129.2,1.2,2.5,14.0,30.0,54.3,0.9,0.0
144.5,467.3,13.6,113.4,1.0950000000000002,185.1,173.8,58.7,40.7,8.1,24.9,62.6,57.7,0.0,9.0,38.6,131.3,288.4,0.0,3.7,15.2,45.7,109.2,0.0,0.0
118.7,258.6,12.9,92.9,1.0950000000000002,167.1,97.1,36.3,38.1,7.7,27.9,42.4,50.8,0.0,8.2,35.1,88.0,127.3,0.0,3.8,13.9,30.4,49.0,0.0,0.0
121.8,308.9,10.2,98.2,1.0749999999999997,168.9,88.5,30.3,44.3,6.9,23.8,31.9,66.5,0.0,7.3,30.0,52.5,219.1,0.0,2.6,10.4,16.0,59.5,0.0,0.0
150.4,417.9,15.8,126.4,1.0749999999999997,182.9,109.6,56.4,50.7,10.8,15.1,56.8,74.1,0.0,11.4,15.9,139.1,251.5,0.0,3.6,8.7,33.6,63.7,0.0,0.0
139.0,367.4,13.5,118.8,1.1175,177.2,91.2,47.1,40.4,22.5,9.7,69.8,42.4,0.0,29.9,10.4,243.5,83.6,0.0,9.8,7.1,44.5,29.8,0.0,0.0
