n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_Africa,n_species_Asia,n_species_Australia,n_species_EasternAsia,n_species_Europe,n_species_India,n_species_Madagascar,n_species_MiddleEast,n_species_NorthAmerica,n_species_SouthAmerica,n_occs_Africa,n_occs_Asia,n_occs_Australia,n_occs_EasternAsia,n_occs_Europe,n_occs_India,n_occs_Madagascar,n_occs_MiddleEast,n_occs_NorthAmerica,n_occs_SouthAmerica,n_locs_Africa,n_locs_Asia,n_locs_Australia,n_locs_EasternAsia,n_locs_Europe,n_locs_India,n_locs_Madagascar,n_locs_MiddleEast,n_locs_NorthAmerica,n_locs_SouthAmerica,present_diversity
29.25,179.71,2.72,24.94,1.0,29.25,81.5,5.17,2.47,2.31,0.71,3.0,0.0,6.0,0.0,0.0,0.0,16.68,1.6,2.56,0.9,7.76,0.0,72.69,0.0,0.0,0.0,94.2,1.6,2.56,0.9,5.35,0.0,37.38,0.0,0.0,0.0,33.71,1.6,546.0
21.87,83.12,1.04,17.68,1.0,26.55,35.16,3.06,2.37,1.57,1.32,1.6,0.0,5.35,0.0,0.0,0.0,11.63,0.4,1.78,1.52,2.57,0.0,32.86,0.0,0.0,0.0,43.99,0.4,1.78,1.52,2.23,0.0,16.22,0.0,0.0,0.0,13.01,0.4,0.0
20.05,61.02,1.21,15.88,1.0,25.86,27.26,3.08,3.03,1.22,0.57,1.26,0.0,7.81,0.0,0.0,0.0,9.39,0.46,1.47,0.58,1.67,0.0,34.78,0.0,0.0,0.0,22.06,0.46,1.27,0.58,1.42,0.0,16.86,0.0,0.0,0.0,6.67,0.46,0.0
18.14,41.4,1.31,13.44,1.0,25.81,18.78,4.15,1.22,1.53,0.28,0.59,0.0,8.85,0.0,0.0,0.0,7.22,0.54,1.79,0.28,0.87,0.0,24.68,0.0,0.0,0.0,13.24,0.54,1.42,0.28,0.87,0.0,11.33,0.0,0.0,0.0,4.34,0.54,0.0
15.97,31.09,0.29,11.73,1.0,22.88,12.91,4.07,4.15,1.25,0.56,1.11,0.0,6.7,0.0,0.0,0.0,7.14,0.0,1.3,0.56,2.58,0.0,14.47,0.0,0.0,0.0,12.18,0.0,0.95,0.56,2.58,0.0,5.13,0.0,0.0,0.0,3.69,0.0,0.0
15.05,20.62,1.66,10.41,1.0,22.96,8.65,2.87,3.57,0.73,0.55,0.75,0.0,7.19,0.1,0.0,0.0,6.27,0.0,0.8,0.55,0.92,0.0,10.43,0.1,0.0,0.0,7.82,0.0,0.72,0.55,0.92,0.0,4.17,0.1,0.0,0.0,2.19,0.0,0.0
13.72,19.32,1.85,9.43,1.0,23.66,7.56,2.14,3.48,0.56,0.36,0.16,0.0,7.27,0.2,0.0,0.0,5.8,0.0,0.61,0.36,0.16,0.0,10.0,0.2,0.0,0.0,7.99,0.0,0.61,0.36,0.16,0.0,3.86,0.2,0.0,0.0,2.37,0.0,0.0
15.1,22.64,1.87,10.58,1.0,25.0,8.19,3.54,2.9,0.23,0.25,0.24,0.0,7.95,0.15,0.0,0.0,6.34,0.29,0.25,0.25,0.24,0.0,12.89,0.15,0.0,0.0,8.53,0.33,0.25,0.25,0.24,0.0,4.64,0.15,0.0,0.0,2.33,0.33,0.0
13.26,17.82,1.36,9.26,1.0,24.36,6.23,2.7,3.71,0.19,0.0,0.27,0.0,6.38,0.15,0.0,0.0,6.37,0.39,0.19,0.0,0.27,0.0,8.43,0.15,0.0,0.0,8.32,0.46,0.19,0.0,0.27,0.0,2.84,0.15,0.0,0.0,2.32,0.46,0.0
10.8,13.05,0.65,7.56,1.0,25.37,6.27,1.94,2.93,0.45,0.0,0.38,0.0,3.18,0.15,0.0,0.0,6.51,0.47,0.45,0.0,0.38,0.0,3.74,0.15,0.0,0.0,7.79,0.54,0.45,0.0,0.38,0.0,2.59,0.15,0.0,0.0,2.16,0.54,0.0
11.12,14.46,0.57,7.53,1.0,26.36,8.33,1.79,3.55,0.56,0.0,0.33,0.0,4.11,0.17,0.0,0.0,5.47,0.86,0.56,0.0,0.33,0.0,5.51,0.17,0.0,0.0,6.52,1.37,0.56,0.0,0.33,0.0,4.1,0.17,0.0,0.0,1.85,1.32,0.0
14.3,24.68,0.77,8.6,1.0,28.12,12.99,2.62,3.56,0.51,0.0,0.92,0.0,7.02,0.29,0.0,0.0,5.12,1.28,0.52,0.0,1.05,0.0,12.27,0.34,0.0,0.0,5.98,4.52,0.38,0.0,1.05,0.0,5.26,0.34,0.0,0.0,1.73,4.23,0.0
18.89,37.4,0.84,12.52,1.0,29.06,17.13,2.69,3.56,0.71,0.0,1.19,0.0,7.18,0.52,0.0,0.0,9.8,1.38,0.75,0.0,1.68,0.0,13.58,0.67,0.0,0.0,15.65,5.07,0.39,0.0,1.68,0.0,5.25,0.67,0.0,0.0,4.48,4.66,0.0
18.14,31.79,0.88,12.73,1.0,29.93,13.48,2.11,3.13,0.96,0.0,1.25,0.0,3.15,0.6,0.0,0.0,11.64,1.38,1.0,0.0,1.8,0.0,3.72,0.76,0.0,0.0,21.07,3.44,0.52,0.0,1.8,0.0,1.51,0.76,0.0,0.0,5.7,3.19,0.0
18.7,31.01,0.41,13.13,1.0,30.95,11.44,1.84,2.09,1.02,0.0,1.29,0.0,4.94,0.52,0.0,0.0,11.22,0.83,1.06,0.0,1.82,0.0,5.85,0.65,0.0,0.0,20.8,0.83,0.48,0.0,1.82,0.0,2.11,0.65,0.0,0.0,5.55,0.83,0.0
