n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_Africa,n_species_Asia,n_species_Australia,n_species_EasternAsia,n_species_Europe,n_species_India,n_species_Madagascar,n_species_MiddleEast,n_species_NorthAmerica,n_species_SouthAmerica,n_occs_Africa,n_occs_Asia,n_occs_Australia,n_occs_EasternAsia,n_occs_Europe,n_occs_India,n_occs_Madagascar,n_occs_MiddleEast,n_occs_NorthAmerica,n_occs_SouthAmerica,n_locs_Africa,n_locs_Asia,n_locs_Australia,n_locs_EasternAsia,n_locs_Europe,n_locs_India,n_locs_Madagascar,n_locs_MiddleEast,n_locs_NorthAmerica,n_locs_SouthAmerica,present_diversity
19.7,29.6,1.19,15.61,0.1289999999999997,19.7,9.82,1.19,22.27,0.0,0.26,0.55,0.0,3.09,0.0,0.0,0.12,15.64,0.27,0.0,0.28,0.61,0.0,3.88,0.0,0.0,0.12,24.44,0.27,0.0,0.11,0.48,0.0,2.53,0.0,0.0,0.06,6.37,0.27,546.0
38.66,238.46,1.74,27.93,0.6450000000000015,40.78,94.02,4.3,12.26,1.29,1.95,4.0,1.0,10.66,0.0,0.0,0.44,23.16,0.98,1.29,2.09,8.44,1.0,104.93,0.0,0.0,0.44,119.29,0.98,1.29,0.87,4.71,1.0,49.99,0.0,0.0,0.22,34.96,0.98,0.0
44.75,274.69,3.21,33.44,1.8060000000000023,48.74,98.52,8.41,4.72,3.0,8.15,3.52,0.0,10.93,0.0,0.0,4.0,21.89,2.14,10.71,9.63,6.95,0.0,93.87,0.0,0.0,5.44,145.95,2.14,7.71,4.02,4.81,0.0,43.12,0.0,0.0,1.72,35.0,2.14,0.0
29.03,89.94,2.51,17.41,1.0199999999999994,45.05,34.24,4.29,7.25,7.0,0.0,0.0,0.35,12.26,0.0,0.0,0.65,12.46,2.34,10.46,0.0,0.0,0.35,46.45,0.0,0.0,0.66,29.41,2.61,4.76,0.0,0.0,0.35,20.22,0.0,0.0,0.33,6.97,1.61,0.0
38.06,131.02,2.63,24.67,1.733000000000002,48.01,56.72,12.16,7.67,2.3,6.15,2.16,0.65,13.72,0.0,0.0,3.66,14.85,2.0,5.24,9.16,5.16,0.65,65.19,0.0,0.0,4.34,39.28,2.0,3.94,3.16,5.16,0.65,30.37,0.0,0.0,2.67,9.77,1.0,0.0
28.01,68.26,3.61,17.35,1.913000000000002,43.52,24.58,5.55,18.48,1.0,0.89,0.25,0.0,14.71,0.24,0.0,0.42,13.9,0.0,1.49,1.53,0.25,0.0,39.29,0.24,0.0,0.42,25.04,0.0,1.49,1.53,0.25,0.0,15.75,0.24,0.0,0.42,4.9,0.0,0.0
48.95,155.86,6.69,33.6,4.38400000000001,56.45,54.06,14.71,7.18,1.74,1.86,2.59,0.0,19.11,1.76,0.0,1.94,25.15,4.0,2.08,2.31,2.59,0.0,78.78,2.76,0.0,1.94,57.22,8.18,2.08,2.31,1.59,0.0,28.96,2.76,0.0,1.94,9.46,4.96,0.0
37.59,125.17,0.7,21.0,2.189999999999998,48.92,49.55,7.92,5.33,2.82,2.0,2.38,0.0,15.26,1.7,0.0,0.19,21.41,2.01,3.77,2.0,5.41,0.0,50.86,3.0,0.0,0.19,47.6,12.34,1.29,1.0,4.96,0.0,16.98,3.0,0.0,0.19,10.57,11.56,0.0
36.73,118.28,0.67,19.38,2.159999999999997,46.33,37.26,7.16,6.75,2.86,0.0,2.34,0.76,16.74,1.67,0.0,0.08,19.68,1.48,3.79,0.0,5.59,0.76,49.99,3.0,0.0,0.08,53.59,1.48,1.27,0.0,5.04,0.38,13.53,3.0,0.0,0.08,12.48,1.48,0.0
40.41,164.78,4.28,22.33,4.470000000000011,45.92,60.13,19.49,0.71,1.0,3.59,4.0,1.24,16.15,0.0,0.0,4.39,18.18,1.7,3.28,4.06,11.26,1.24,83.18,0.0,0.0,6.32,53.28,2.16,3.28,3.36,6.21,0.62,26.72,0.0,0.0,4.22,14.34,1.38,0.0
19.94,40.84,0.06,7.57,2.590000000000002,27.14,23.03,7.11,5.11,0.92,0.83,2.93,0.0,9.25,0.0,0.0,4.27,3.43,1.07,1.89,0.94,4.74,0.0,20.12,0.0,0.0,6.31,5.69,1.15,1.89,0.64,2.79,0.0,11.5,0.0,0.0,2.28,3.0,0.93,0.0
17.99,56.15,1.23,9.69,4.2599999999999945,25.14,31.02,7.01,9.03,1.0,0.0,2.0,0.0,7.92,0.0,0.0,1.74,5.64,0.56,1.0,0.0,3.0,0.0,38.43,0.0,0.0,1.74,11.42,0.56,1.0,0.0,3.0,0.0,17.74,0.0,0.0,0.87,7.85,0.56,0.0
22.25,49.23,4.3,13.12,6.600000000000012,27.16,27.87,12.34,15.54,0.0,1.0,0.0,0.0,7.9,0.0,0.0,0.0,15.22,0.13,0.0,1.0,0.0,0.0,23.31,0.0,0.0,0.0,24.79,0.13,0.0,1.0,0.0,0.0,14.41,0.0,0.0,0.0,12.33,0.13,0.0
22.83,86.02,3.18,13.5,3.810000000000002,30.36,41.97,8.62,0.14,3.0,1.0,0.0,0.0,15.9,0.0,0.0,0.0,6.32,1.15,8.53,1.0,0.0,0.0,52.26,0.0,0.0,0.0,23.08,1.15,5.02,1.0,0.0,0.0,17.72,0.0,0.0,0.0,17.08,1.15,0.0
11.85,36.62,0.14,3.71,3.319999999999995,21.88,29.71,4.02,10.32,1.74,2.0,0.0,1.0,7.0,1.0,0.0,0.0,3.11,2.0,3.47,6.0,0.0,1.0,14.09,4.18,0.0,0.0,5.42,2.46,2.98,5.0,0.0,1.0,10.09,4.18,0.0,0.0,5.0,1.46,0.0
